method,duration_sec,memory_mb,cpu_percent,timestamp
pyspark,3.55,0.5,33.2,2025-05-15 22:23:57
pyspark,3.38,0.38,32.2,2025-05-15 22:24:10
pyspark,3.54,0.38,32.7,2025-05-15 22:24:29
pyspark,3.69,0.38,35.6,2025-05-15 22:25:02
pyspark, 3.55,0.38,33.2,2025-05-15 22:25:12
